id	tweet	coding	sentiment	
1465771813393285128	I will say it again, you cannot convince people who live almost 2 years through this pandemic and never got Covid to get the vaccine.  The right to protest , while social distancing should not be denied either .... https://t.co/yYjxae3IIS	antivaccine commentary	negative	
1465771812252487695	@syphotomb @TheDarkHorse70 @CP24 Everyone travelling out of Canadian airports today? Yes.   Prior to today a pcr test was the requirement so there’s no way to say that everyone was vaccinated.  Not all countries require vaccination upon entry.	neutral commentary	neutral	
1465771811665293314	But how real is this economic scarcity? Yes, there is a pandemic which has introduced some supply-side disruption but supply-chain issues preceded Covid, arguably started with Brexit, US-China trade war and the ensuing tariffs, but also sanctions on Russia, Iran and Venezuela.	neutral commentary	neutral	
1465771810956455944	Bulgaria 🇧🇬 COVID-19 current stats for Tue Nov 30 2021  Cases: 692,376 Deaths: 28,325 Recovered: 558,928 Active: 105,123 Tests: 6,549,700 Doses: 3,295,198  #covid_bg https://t.co/ujIHRu0myS https://t.co/kDfkxVrKjG	news	neutral	
1465771809316474884	Looks like we are painted into a corner. Fingers crossed that vaccines work against Omicron. What Powell is saying is, in effect, that we can't get through another year of COVID lockdowns without a major economic recession.	provaccine commentary	neutral	
1465771807412146178	https://t.co/TdvM5I8JeI  Now the bad news  #COVID19 #Covid_19 #COVAXIN #Covid #covidvariant #COVID19Vaccine #Omicron #OmicronVariant #Omikron #MoronicVariant	neutral commentary	negative	
1465771807336714242	@AdamBienkov So Brexit nut job Steve Baker is either so stupid he isn’t listening to experts and continues to deny covid exists.   Or he’s an absolute zealot who knows covid is hospitalising and killing people, knows the government isn’t doing enough and just doesn’t care.   Idiot or psycho.	neutral commentary	negative	
1465771804627128320	Australian Army Begins Relocating Covid-Positive Cases to Quarantine Camps – The Expose “You will be housed, you will be fed. You may take one suitcase, a loaf of bread, and a tin of jam.” “It’s for your health!” https://t.co/PXTH59fUhL	news	neutral	
1465771804262236163	@AbuWudu @OfficialSumi_ Covid actually brought a dozen new Muslims to the Masjids who might never have even tocuhed Qur'an had they not been locked in their house Alhumdolillah	neutral commentary	negative	
1465771802471198721	@fmacskasy "This year APEC Leaders have shown a determination to work together, to emerge from this pandemic stronger and more resilient than we were before."  Jacinda Ardern, APEC speech, 12th Nov 2021  Covid is gone?	news	neutral	
1465771801326374915	@SkyNews UK Summary   Last updated on Tuesday, 30 November 2021 at 5:30pm  Coronavirus (COVID-19) in the UK.   Deaths within 28 days of positive test. Daily 159  Total Deaths  144,969  Cases. People tested positive. Daily  39,716 https://t.co/4s73SyeF6I	news	neutral	
1465771801074704390	@GIMilner @ConsiderThis1 @WOgaard @oliverdarcy Pfizer mRNA injections, reprograms innate immune respons! #Pfizergate #Fullmich https://t.co/ENGjqHEO8A	neutral commentary	neutral	
1465771799409414144	@AxelsiorB @SusanDelacourt Not.  Conservatives hold worst attendance record at House of Commons COVID-19 committee  https://t.co/oc1vjHRFO4	neutral commentary	negative	
1465771797740244992	Had my Covid Booster Shot this afternoon!  Had all my shots plus flu shot!   @gemswinc @Rubybeets @sandarwai @slines @deephil11 @WebGrrrrl @Jade44_4  @weatherfran	provaccine commentary	positive	
1465771796205084682	@Superpig Yup, I’m expecting Covid to be with us for the rest of our lives and we’ll simply have to learn how to manage it rather than 100% eradicate it. It’s just more difficult than the flu due to the higher hospitalization and death rates plus long term side effects :(	neutral commentary	negative	
1465771794489647106	Tuesdays might be my favourite day to workout now. 🥰🥰🥰  Did my deadlifts with like 7 people in my personal space/arm span (not even joking - do people not know there is a mutant covid??).  At first dreading loads of people around...but completed them 😁 heavy at my pb of 60kg.	neutral commentary	neutral	
1465771793046814729	@kevin_doyle @ReubenR80027912 @angrybklynmom Paxlovid FTW (if not a terrible, terrible name) https://t.co/1nMbeiU2Om	provaccine commentary	positive	
1465771792648318977	Government paying their pushers!  https://t.co/Xx1kL63tgh	antivaccine commentary	neutral	
1465771791578648577	@Keir_Starmer  likes to go the extra mile. Supports the governments plans to tackle omicron - he would like pre departure testing. #Omnicron #Covid_19	neutral commentary	positive	
1465771791129919492	Vaccine fanaticism is a far worse disease than COVID.  #vaccines	antivaccine commentary	neutral	
1465771786474332166	@smartercommeu @NoContextBrits Long covid. As well as wide covid of course.	neutral commentary	neutral	
1465771784305848322	@XeNiVeX @boonrj @NigelCl42240730 @madmidweeker @NHSuk Are you not good with percentages? The table you just posted shows that 85% of hospitalisations with covid who are over 80 were double jabbed and so around 15% were not. Yet the proportion of over 80s who are not double jabbed, is about 5%. How you explain the difference? https://t.co/7o1TNR2SSz	antivaccine commentary	negative	
1465771784188440581	These covid rates need to go the fuckkkk down before January!	neutral commentary	negative	
1465771781155737603	@Satyamevajanate @VishnuNDTV Hwe have the best CM and health is a state matterso yes we can do nethng... It's measures such as this from day ont that we have managed to be the state with beat covid management... 🤣🤣🤣🤣	neutral commentary	negative	
1465771780254150668	@dyejane83 @annie61smith4 @RosieGottesman @ChuckCallesto The CDC actually said Covid was the underlying (primary) cause of death in at least 90% of all deaths involving Covid.  IOW, at least 90% of deaths WITH Covid are FROM Covid.  Consistent with the 533K (18%) jump in total deaths in 2020, compared to 2019.  https://t.co/o2BQjyaQbp https://t.co/w0RIidMKjG	neutral commentary	neutral	
1465771779415232518	@GrevensEpiphany Some logic of this plastic science terminology makes me wonder if they are differentiating between Covid strains and marijuana strains. #Omnichronic	antivaccine commentary	neutral	
1465771778622513158	@BlackNotAfrican @my15kids @BarbieNexxtDoor They're called S proteins, they bind to a receptor on the host cell called angiotensin. So far, those surface proteins have been consistent on the relevant variants (of coronavirus, the general name of these viruses; COVID-19 is the name of the disease caused by the viruses).	neutral analysis	neutral	
1465771778190495747	Students after hearing about new covid variant #Omnicron https://t.co/YOnPEQmg4i	neutral commentary	neutral	
1465771776999313412	@mtracey Hey at least COVID is creating jobs!	neutral commentary	positive	
1465771776936484869	@michaelowen74 @alexberesfordTV You’re out on Thursday? Why not today if you’ve beaten it already?  I’m surprised anyone would chose hospitalisation &amp; ‘deaths door’ over no hospitalisation &amp; ‘bad flu’ but I’m a coward &amp; hate being ill &amp; the stats prove I’m way more at risk of being ill from Covid than vaccines	provaccine commentary	negative	
1465771775325782020	@Huge761 ONS numbers indicate that Covid is a great deal (50times +/-) more virulent then influenza. https://t.co/D9yxVZ0kYW	news	neutral	
1465771771999801348	@piersmorgan Sorry, but it proves nothing.  Exceptionally fit people occasionally succumb to viruses, not just Covid.  And some people may die as a result of being vaccinated, who would otherwise have lived.  And it depends what you mean by a 'conspiracy theory'.	provaccine commentary	negative	
1465771771295059987	Wow! I'm only 5 away from hitting 1000 sales on my Etsy store! Thank you everyone who bought from me and saved my business during covid, its been a ride! https://t.co/1hXfoGD3ZY	neutral commentary	positive	
1465771770435325955	@lazulcapital gotta respect the morals + ya boy probs needs a covid pass for NA lmao	neutral commentary	neutral	
1465771770116407302	@Daystar Will people acknowledge that he took $4 million dollars of COVID relief money and bought a private jet? Will they see that he spoke against COVID safety and then died of it? It's time for people to open their eyes to God's great glory and realize grifters are the opposite.	neutral commentary	negative	
1465771770070196225	Minecraft Facts : covid 19 is donkey kong	neutral commentary	positive	lol
1465771769713676290	@HIVGov END #BigPharma who uses #WeThePeople #Taxpayer #Money for #Science #Research #Technology yet we allow them #Patent #Monopoly #Monopolies while charging +30$USD for a #Covid19 vaccine in #Africa!  We the people subsidized @moderna_tx @JNJNews @pfizer etc. https://t.co/f1RSPzJTbx	antivaccine commentary	neutral	
1465771767843241986	@headi420 Maybe just flu?  My niece got really sick but both tests showed negative for Covid &amp; flu. 🤷🏻‍♂️	neutral commentary	neutral	
1465771764286468097	@crossgranny1 @wardsarah5 @Mimicra07797108 We all "know people who have died"  97%+ of the UK population already has strong antibody protection in their blood to COVID  Stop assisting the utterly contemptible, corrupt &amp; compromised government &amp; media peddle their lies &amp; psychological warfare on the public	antivaccine commentary	negative	
1465771764122677250	It’s called “the common good,” and it has to be our top priority if we’re going to win the Covid war. https://t.co/LLuh6TnvDL	neutral commentary	neutral	can't tell
1465771763644702720	Legit feel like throwing up but no one at work can tell and they just keep giving me more work. I know I’m good at faking shit now lol. Is this covid? Na jk but almost half the train cart was coughing this morning 😷😷🤢	neutral commentary	neutral	
1465771762738610176	And I look forward to having a PM who doesn’t *cause* a housing crisis — in between funding meth labs and importing Delta COVID from Australia — and then whinge that it’s capitalism’s fault 🤷‍♂️🙄 https://t.co/kG5axHVgLB	neutral commentary	negative	
1465771761505611779	@KathrynMathias1 @MJosling53 Conservatives barking about the economy, which is impacted by sentiment, is almost as irresponsible as their public representations regarding vaccination and the pandemic generally. Fully &amp; completely UNFIT for government, in power or as opposition. #onpoli #canpoli	provaccine commentary	negative	
1465771761123868687	"The 741,000 residents of Monroe County's 7-day rolling average of new COVID cases is 378.  That's 31% of the entire state of Florida's 7-day rolling average of 1,226 new cases, with a population of 21 million."	news	neutral	
1465771759379038231	Is Getting Vaccinated for Covid-19, 100% Safe? | Nature's Real Health https://t.co/TyMExGtkNm	antivaccine commentary	neutral	
1465771757961465864	@MetroNorth I’m not sure why you have a peak fear for in the first place because not a lot of people are taking the train and I don’t see any change for 2022 either with https://t.co/VMCcXidU6I cost the same amount to run a train all day long.	neutral commentary	neutral	
1465771757437136897	@delmiyaa @aman_deee Agreed.  We're already paying for an unsolicited covid-19 recovery tax. We don't need more taxes	neutral commentary	negative	
1465771755448983553	Wonder why they remained quiet. May be the travel ban on Southern Africa would have been less severe if Netherlands has disclosed at the time they knew about the case? https://t.co/DV2YKu595u	neutral commentary	neutral	
1465771753263742977	Ministry of Health says its vaccination app is now ready https://t.co/YiWw6j51dA	provaccine commentary	neutral	
1465771752844263426	@BretKlein3 @CorvusCorax77 Yes, but since vaxxed are much less likely to have covid in the first place, spreading it at a much lower rate and not taking up hospital beds and stressing the overworked medical system. Also not missing weeks of work being in bed. You know that, right?	provaccine commentary	negative	
1465771752416591878	Biggest age group impacted by COVID right now in Michigan is K-12  Now this  I hate it here https://t.co/W5GqRkYt2u	news	negative	
1465771752328421387	@mrkeveddy @AldiUK I’ve just had covid, so I can’t spread fuck all	neutral commentary	negative	
1465771752328335360	@Gpazz @BryanDeanWright Crazy how many people keep repeating this shit. Vaccines always created immunity until covid came around. There are treatments and therapeutics for covid, but there aren’t any vaccines yet.	antivaccine commentary	negative	
1465771751778897926	Yes your style of presenting &amp; mentioning covid with its orignal name...👌👌 https://t.co/IFH4P3CPBx	neutral commentary	positive	
1465771749656702987	Will @GOP ever start organizing rallies against the covid mandates??	antivaccine commentary	neutral	
1465771746678640641	Oh! Look Pinocchios nose has grown! Open SmartNews and read "Kayleigh Claims ‘No One Has Politicized This Virus More’ Than Joe Biden—and People Can’t Even" here: https://t.co/Zlx8AfDK47  To read it on the web, tap here: https://t.co/5stuSHadeh	antivaccine commentary	negative	
1465771746368360453	@ruskin147 @martynziegler @whippletom As if the entire response to COVID in general hasn’t been a giant overreaction. We’d be fools to think it won’t continue…	antivaccine commentary	negative	
1465771742824120320	@JosephEugeneFo1 @RTheatheist @BurgerLab12 @JustPlaying2Win @Bebert701 @wjack76995 @pawley_robert @ChrisJohnsonMD @MdRisette @SassyGirlD1 @carlsmythe @ADevotedYogi @JSAHolmes @kfunk937 @TierraHenson @L1ND4K @Bill20538001 @Kathmarval @markmcdougall13 @nyob7714 @BrowningNeelyn @KayVonPaul @Alex_on_A14 @WendyOrent @ghoppe @Will_holliday1 @barryjohnreid21 @NateWeymouth @FineAndBrennan @JohnBee888 @andylumm @ItsAllLies1 @ADreyzen @BioVisionary @RodFair2 @DEKKplans @KAMasse81 @jamesgordon4th @DontMes70957787 @Jenni86587557 @SaltaoVladimir @jhan2qt @Nycweatherrepor @Michell69397997 @lizditz @TakeThatCDC @Dkingnbearjavi @thatsnotmine125 @florida_reb @ginapro The boosters worked.  https://t.co/eafGfbJH1Z	provaccine commentary	positive	
1465771742484475904	@JeremyVineOn5 @Ella_M_Whelan @NinaMyskow Am not worried about any covid in uk to be honest	neutral commentary	positive	
1465771742098599943	@WalshLaw15 @tedcruz …moving the goalposts now?  As I (slowly) said before, he relied the information which was available from COVID-19 at the time.   Science is constantly checking itself and updating itself as new evidence comes up.	neutral commentary	neutral	
1465771740773359616	@misguidedjenni Afraid you’re right Jen. He was a poster boy of the religious right in America. Owned daystar - a tv ministry with a huge audience reach. An elderly friend of ours has refused vaccination based on his views.	neutral commentary	neutral	
1465771740458532875	Covid Omicron restrictions: Does mask-wearing have public support? https://t.co/eNkzIPH2SJ	neutral commentary	neutral	
1465771738306859012	Merck COVID-19 pill: FDA panel weighs safety, effectiveness https://t.co/tntw6vVI7w #newsusa #newshot #news #newsevery #newsnight #newsdigest #trendingnews #1news #news24 #latestnews	provaccine commentary	neutral	
1465771736075583490	Give me every single vaccine and booster I need to fight off #Covid_19	provaccine commentary	positive	
1465771734133530630	@JayCaruso They gain money, a lot of money, from COVID...they don’t gain that money without it. Pretty simple if you’re not a big pharma shill Jay.	antivaccine commentary	negative	
1465771733634404363	This right here is the only covid commentary you need. https://t.co/ycKfojnaAb	neutral commentary	negative	
1465771731939848192	@robsevy My wife did. She had some arm soreness and felt a bit run down for about a half day. Nothing major. I had Pfizer booster, and reaction was the same. My daughter had her Pfizer booster recently, and her redponse was a bit more intense, causing some fever and chills for a day.	provaccine commentary	neutral	
1465771729784082436	Those is it real or is it cake videos started Covid..	neutral commentary	neutral	
1465771728374743053	@RepSwalwell Your unvaxxed kids are spreading covid. Guess they staying inside til they 5.	provaccine commentary	negative	
1465771727347228677	@charlottemorl13 @Magnusson32 @CBSNews I'm just going off the data from the NHS and Israel COVID reports :( really doesn't look great when the % of hospitalizations with the jab is so high	provaccine commentary	negative	
1465771726931906563	The EU court has rejected a challenge to the European Parliament’s COVID rules. The ruling means Parliament can demand vaccine certificate, test, or recovery proof to enter its buildings.  https://t.co/7wDPRlkXBD	news	neutral	
1465771725161914371	@h_lagazo especially considering covid is peaking again, there might not even be a tour because our cases are getting so bad, it’s selfish of them to fly out regardless :(	neutral commentary	negative	
1465771724750954506	@MFJones1618 Wasn't aware of their vaccination rate.   Either way, I don't think this mutation will be as deadly even if it evades the vaccine  but we'll know more over coming weeks	provaccine commentary	neutral	
1465771724562042881	@LivnUndaATyrant They aren't even designed for Covid. They have a different purpose.	antivaccine commentary	negative	
1465771724407033867	@Edelruth2 @NBCJoshua I made it from PA to FL (Covidland) and back 2x in the last month. No idiots causing disruptions on my flights. No covid in me despite being so close to seat mates on plane. I'm also boosted, masked up, etc. Was my first time out of my bubble since pandemic.	provaccine commentary	positive	
1465771722624450564	@shaunrsa5 I also had Covid but no problem taking the vaccine too. Also, you can get a nasty flu every year, no long lasting immunity there.	provaccine commentary	positive	
1465771722502815750	@POTUS @PressSec Joe more Americans have died of #COVID in "your 1st 10 months" then "all of 2020 under Trump." When are you going to resign like you said Trump should? #JoeBiden #COVID https://t.co/xsYcu0MYyz	neutral analysis	negative	
1465771721613463552	@tiffmc1013 @CoriBush The vaccines are not free..Pfizer has been making record profits.   Not sure what you're on about.	neutral analysis	negative	
1465771720653082632	@AztecMacho @ConceptualJames Also, COVID-19 has animal reservoirs, so even if you vaccinated everyone, it will come right back when the vaccines wear off.  Conversely, natural immunity appears to last for at least a few years. We should focus vaccines on people with health issues.	antivaccine analysis	neutral	
1465771719860408332	@be_rated @RepSwalwell Thank you for helping people!  I’m curious what is done for covid patients?	neutral commentary	positive	
1465771718992093192	@0v3rwh3lm3d_ @AlastairMcA30 @Wits_SRC You are also not nescessarily infectious if you test positive  for covid?  Most assuredly you are not guaranteed not infectious if you have had the vax.	antivaccine commentary	negative	
1465771718765539328	https://t.co/gAstKRipKJ The #antivax crowd won't believe this #COVID19	provaccine commentary	negative	
1465771718673252356	Mother's pool warning as COVID-19 means some kids haven't learnt to swim https://t.co/OgTM2Yboz7	neutral commentary	negative	
1465771718316855298	After Covid, people were excited to get back into the sports world, here is a great article that goes through 5 essential sports marketing strategies that will get people excited. #SMUAPSM2310 @KTsportsmarket   https://t.co/X8Fr0oxjuG	neutral commentary	positive	
1465771717691854850	@markpoloncarz do you understand why no one is counting the flu anymore because covid replaced that. Again everyone has to understand this Chinese virus is going to infect everyone. Stop playing word games like anything you do is going to help	antivaccine commentary	negative	
1465771715053637632	@Jayg147 @markwil147 @Ego9Alter @GMB Addicted? I assume you mean the vaccination?	neutral commentary	neutral	
1465771712243322881	Omicron COVID variant was already in Netherlands before South Africa identification | The New Daily https://t.co/jOGDqrHTb2	news	neutral	
1465771710804856833	Ya'll hear about this covid thing? Wild	neutral commentary	neutral	
1465771710100111360	Vaccine' is Merriam-Webster's 2021 word of the year | CBC News https://t.co/eZfMcdh3TM #dictionary #COVIDVaccine #COVIDVaccination #COVID19Vaccine #COVID19Vaccination #COVID19 #COVID_19	news	neutral	
1465771709718532098	@OscarsWild1 @BigRakaDoc @amcelha3 @AristotleMrs @seandotcab @RobMeekel @Barrtecforever @Canadianworker2 @sandcastle1975 @thinks_about_it @JohnDublin10 @Kenneth72712993 @jimdtweet @4Clearsky @BubbasRanch @Moderna5G_666 @IngersolRobert @BolzmannMichael @rln_nelson @HalBrow68884227 @chimera414 @k_b_lvi @Stephen04880258 @GuyGadboisGuyG1 @thisisnothappen @basil_ireton @The_Ouroboros__ @DavidTaylorYork @DawnTJ90 @keithamccluskey @Gordon_DHG @EricWil06256732 @wildweatherdan @robhon_ @try2golf @ejwwest @TWTThisIsNow @Tragiicomedy @covid_parent @IanDJbrown2 @Narvuntien @dan613 @Boeing74 @organicdot @oakden_wolf @25_cycle @sunsnowflowers @BridgetHolmstro @rockandroll432 It's your lucky evening my little old decrepit anti science jobless bum. Go for broke, the floor is yours. Got a mate here and I don't have many hours bumming around at home like some people. Probably see you early morning though still spamming! 🤡	neutral commentary	negative	
1465771709089427466	https://t.co/fjvAMar1RG  Only 7% of the population is fully vaccinated in Africa  Africa is the most poorly immunized region in the world, with less than 7% of the population fully immunized, largely due to unequal access to valuable doses favoring rich countries.	neutral commentary	negative	
1465771706249842690	@RlalbrechtTroy Hey Liar? Who the hell do you think you are?  On every box of surgical masks it tells you that they are not effective against Covid-19 so stick your irrational bullying and threats where the Sun don’t shine. You mask nazis are a disgrace, scaremongering gits!	antivaccine commentary	negative	
1465771704416751617	@johniadarola Every single person is going to get Covid one way or another.  The vaccine isn't stopping it.  This is now an endemic not a pandemic	antivaccine commentary	negative	
1465771701908774914	@KariTikkinen I'd argue that not wearing masks has impacted the number of covid cases here much more than vaccination rate. Govt eased this recommendation. This is on them.	antivaccine commentary	negative	
1465771701682196486	@jellybelly185 @RepSwalwell I'm very sorry your sister's family has allowed government to convince them that taking a vax helps others. No vaccine in history was intended to protect anyone other than the injected person. Any vaxed person can catch covid &amp; spread to any other vaxed person. Please invite her.	antivaccine commentary	positive	
1465771700780417029	@BWiSfull @nypost Inflation at a 30 year high, Americans left behind in Afghanistan, a refugee crisis at the border, a new COVID surge, shortages of consumer goods, violent crime up over 25%. Also one of the Biden grandkids is missing a stocking.	neutral commentary	negative	
1465771699903864841	Lisa Nandy says her son's school leaves all the door &amp; windows open to let Covid fly out. So maybe she's ok with this -https://t.co/N9ZUFnUrHA	antivaccine commentary	negative	
1465771699362750466	@JayLock89590369 @DaVido1008 @RealCandaceO The vaccine is designed to create a spike protein that replicates covid. That spike protein happens to be a mutatable part of the virus. All viruses mutate through evolution and genetic errors along the way. A non sterilising vax will not stop this.	antivaccine commentary	positive	
1465771698490421249	COVID DON’T CARE. If you are 6 or 60. If you’re a Republican or Dem, a Christian or Atheist, a Trump-hater or Biden-hater, a nurse, parent or vaccinated. The #DeltaVariant is an equal opportunity MASS MURDERER. YOU’RE EITHER AN ACCOMPLICE OR AGAINST IT https://t.co/O4sCw56qO9 13	neutral commentary	negative	
1465771697823432709	@WineWit1 @ClintTorrez69 @danielkotzin And again, I do. But I don't play bait/switch question games.  If you have a specific issue with how genome sequencing is done or covid tests, in general ... say it.  Otherwise, all you're doing is dancing around with nothing.	antivaccine commentary	negative	
1465771696284213248	November 30 COVID-19 Update; One New Case in Morristown https://t.co/5tK0KEnEGw	news	neutral	
1465771694958731272	Strong recommend you read the whole 🧵.  I needed a psychiatrist to explain why SSRIs decrease platelet activation and blood serotonin levels.  #covid #SARSCoV2 https://t.co/KxtI2uZTSv	provaccine commentary	neutral	
1465771693117362177	Great article!! Chakras, crystals and conspiracy theories: how the wellness industry turned its back on Covid science  https://t.co/x39SMN9UYI	provaccine commentary	negative	
1465771692442013698	@CryptoLegacyEN @BitgetSP COVID 19 has slowed down many economies around the world but as a crypto business, does it affect you negatively or positively? Are you still on track to achieve your goals or are you planning a new development?	neutral commentary	positive	
1465771692165373956	@vinniciuspqp covid	neutral commentary	neutral	
1465771691842416647	Covid has already robbed children of enough joy – let’s not make it any worse on them  https://t.co/1ZmNSsgvk0	provaccine commentary	positive	
1465771688063221762	A Must See From https://t.co/UsedY8J6tG   Please Senators HELP US Small Business, How many more small businesses and Jobs will be lost because of #Amazon  #GivingTuesday #bebek  #Covid_19 https://t.co/HCctl43yDT https://t.co/uh8RXgxef8	provaccine commentary	positive	
1465771687190970369	Meeting company president. Went with handshake attempt 🤝 and was met with and forced to fist bump. Yikes.   I hate COVID https://t.co/PfXlnRQa2X	neutral commentary	negative	
1465771687052386305	@karol I won’t lie. I’m starting to forget what the pre Covid life looked like	neutral commentary	neutral	
1465771683164434439	@SuziSuperKitn @owillis Documented deaths, but I'm sure there is data that would allow extrapolation into an estimate of long covid sufferers, which would further reduce the pool of available Santas. The two million missing migrant workers might be somewhat less relevant?	antivaccine commentary	negative	
1465771682057052164	@hnvoluntourist @davematthewsbnd And how are you a Covid expert? Are you a doctor?	neutral commentary	negative	
1465771680622645251	BUT A PILL TREATMENT UNDERMINES THE CASE FOR VACCINE MANDATES: FDA panel to discuss emergency use authorization for Merck COVID-19 pill. Approval for Pfizer’s pill is still hanging fire too. https://t.co/POCgoc0U5v	news	neutral	
1465771679137759238	@fireman9119ca @CTVNews Your imaginary friend thinks covid isn’t a big deal? That makes sense	neutral commentary	negative	
1465771678995259396	@jdanbishop @EauxSnap You cant pretend to care about covid only to justify your fear of non white people.  Sorry you're too stuck up your own ass to even think about the general health of the public. //:	antivaccine commentary	negative	
1465771678944972801	BabylonDecoded  Aboriginal Community makes URGENT CALL!!! They are on the first line and no is not a joke folks!!! For the ones who did not notice how Australia is one of the most covid regulated  https://t.co/Rz94OmVDeg	provaccine commentary	positive	
